Google,Apple
8.9,1
-10.4,-1.3
1.9,9.8
2.9,7.4
5.6,21.4
5,0.7
-2.4,8
1,5.1
10.1,10.8
24.6,23.8
-2,-4.1
-0.2,8.7
-18.4,-31.7
-16.5,-7.6
-6.5,14.8
30.4,21.2
2,8.5
-10.1,-11.3
-10,-5.1
-2.2,6.7
-13.5,-33
-10.3,-5.3
-18.5,-13.9
5,-7.9
10,5.6
-0.2,-0.9
3,17.7
13.8,19.7
5.4,7.9
1,4.9
5.1,14.7
4.2,3
7.4,10.2
8.1,1.7
8.7,6.1
6.3,5.4
-14.5,-8.9
-0.6,6.5
7.7,14.8
-7.3,11.1
-7.6,-1.6
-8.4,-2.1
9,2.3
-7.2,-5.5
16.8,16.7
16.7,6.1
-9.4,3.4
6.9,3.7
1.1,5.2
2.2,4.1
-4.3,-1.3
-7.3,0.5
-2.8,-0.7
-4.3,-3.5
19.2,16.3
-10.4,-1.4
-4.8,-0.9
15.1,6.2
1.1,-5.6
7.8,6
-10.2,12.7
6.6,18.8
3.7,10.5
-5.7,-2.6
-4,-1.1
-0.1,1.1
9.1,4.6
8.2,9.4
10.1,0.3
-9.8,-10.8
2.7,-1.2
1.3,-9.1
6.8,-14.4
6,-2.5
-0.9,0.3
3.8,0
5.7,2.3
1.1,-11.8
0.8,14.1
-4.6,8.3
3.4,-2.1
17.7,9.6
2.8,7
5.8,0.9
5.4,-10.8
2.9,5.7
-8.3,2
-4.2,9.9
6.9,7.8
2.3,2.8
-0.9,2.9
0.5,7.7
1,-1.7
-3.5,7.2
-3.3,10.6
-3.4,-7.2
1.3,6.1
4.7,10
-1.4,-3.1
-1.1,0.6
-0.6,4.5
-1,-3.7
21.8,-3.3
-1.5,-6.6
-1.5,-2.2
15.5,8.3
3.5,-0.6
2,-11
-2.1,-7.5
-5.8,-0.1
6.4,12.7
-7.2,-14
5.8,7.1
-6.1,-4.3
12.5,9
-0.2,2.4
1.8,6.6
0.7,0.4
-4.2,-2.2
2.1,4.8
