Date,Price
2/1/2019,111
3/1/2019,109
4/1/2019,135
5/1/2019,130
6/1/2019,138
7/1/2019,141
8/1/2019,136
9/1/2019,129
10/1/2019,129
11/1/2019,150
12/1/2019,143
1/1/2020,138
2/1/2020,117
3/1/2020,96
4/1/2020,108
5/1/2020,117
6/1/2020,111
7/1/2020,117
8/1/2020,131
9/1/2020,124
10/1/2020,121
11/1/2020,148
12/1/2020,181
1/1/2021,168
2/1/2021,188
3/1/2021,184
4/1/2021,185
5/1/2021,178
6/1/2021,175
7/1/2021,175
8/1/2021,181
9/1/2021,169
10/1/2021,169
11/1/2021,144
12/1/2021,154
1/1/2022,143
2/1/2022,148
3/1/2022,137
4/1/2022,111
5/1/2022,110
6/1/2022,94
7/1/2022,106
8/1/2022,112
9/1/2022,94
10/1/2022,106
11/1/2022,98
12/1/2022,87
1/1/2023,108
2/1/2023,99
3/1/2023,100
4/1/2023,102
5/1/2023,88
6/1/2023,89
7/1/2023,89
8/1/2023,83
9/1/2023,81
10/1/2023,81
11/1/2023,92
12/1/2023,90
1/1/2024,92
