Industry,Debt Weight,Cost of Capital
Retail (Building Supply),17,11.3
Software (Internet),11,10.6
Paper/Forest Products,27,10.4
Semiconductor Equip,7,10.4
Semiconductor,6,10.4
Software (System & Application),6,9.5
Auto & Truck,24,9.3
Homebuilding,14,9.3
Shoe,8,9.3
Building Materials,15,9
Heathcare Information and Technology,14,9
Electronics (Consumer & Office),15,8.9
Retail (General),12,8.9
Computers/Peripherals,6,8.8
Software (Entertainment),3,8.8
Coal & Related Energy,18,8.7
Advertising,25,8.6
Electrical Equipment,18,8.6
Education,16,8.6
Diversified,16,8.5
Auto Parts,28,8.3
Trucking,17,8.3
Drugs (Biotechnology),14,8.3
Telecom. Equipment,10,8.3
Retail (Automotive),37,8.2
Restaurant/Dining,20,8.2
Steel,17,8.2
Healthcare Products,11,8.2
Beverage (Alcoholic),20,8.1
Drugs (Pharmaceutical),14,8.1
Hotel/Gaming,33,8
Tobacco,26,8
Total Market (without financials),18,8
Retail (Special Lines),27,7.9
Business & Consumer Services,15,7.9
Machinery,14,7.9
Chemical (Specialty),21,7.8
Aerospace/Defense,20,7.8
Retail (Distributors),24,7.7
Engineering/Construction,21,7.7
Metals & Mining,14,7.7
Apparel,33,7.6
Insurance (General),21,7.6
Healthcare Support Services,21,7.6
Construction Supplies,14,7.6
Entertainment,22,7.5
Transportation (Railroads),21,7.5
Electronics (General),15,7.5
Transportation,24,7.4
Computer Services,23,7.4
Precious Metals,13,7.4
Recreation,37,7.3
Office Equipment & Services,34,7.3
Furn/Home Furnishings,32,7.3
Chemical (Basic),31,7.3
Real Estate (Operations & Services),31,7.3
Oilfield Svcs/Equip.,24,7.3
Oil/Gas (Production and Exploration),19,7.3
Environmental & Waste Services,18,7.3
Publishing & Newspapers,22,7.2
Farming/Agriculture,31,7.1
Telecom (Wireless),39,7
Total Market,32,7
Information Services,26,7
Household Products,13,7
Chemical (Diversified),41,6.9
Retail (REITs),37,6.9
Food Wholesalers,31,6.9
Beverage (Soft),15,6.9
Cable TV,50,6.8
Shipbuilding & Marine,23,6.7
Insurance (Prop/Cas.),16,6.7
Oil/Gas (Integrated),11,6.6
R.E.I.T.,44,6.3
Food Processing,27,6.2
Air Transport,62,6.1
Green & Renewable Energy,59,6.1
Hospitals/Healthcare Facilities,44,6.1
Packaging & Container,42,6
Oil/Gas Distribution,41,6
Utility (Water),34,6
Reinsurance,30,5.8
Real Estate (General/Diversified),24,5.8
Insurance (Life),48,5.7
Broadcasting,64,5.6
Telecom. Services,56,5.6
Brokerage & Investment Banking,69,5.4
Real Estate (Development),48,5.4
Retail (Grocery and Food),36,5.3
Power,48,5.2
Investments & Asset Management,29,5.2
Bank (Money Center),68,5.1
Utility (General),46,5.1
Financial Svcs. (Non-bank & Insurance),77,5
Rubber& Tires,70,4.8
Banks (Regional),50,4.7
